Code.Class,Name,Accession,COH.24,COH.25,COH.30,COH.27,COH.32,COH.28,COH.23,COH.31,COH.4,COH.7,COH.8,COH.16,COH.6,COH.1,COH.15,COH.17,COH.14,COH.11,COH.21,COH.10,COH.20,COH.13,COH.2,COH.22,COH.5,COH.3,COH.19
Endogenous,ABCB1,NM_000927.3,190,273,383,2786,232,478,36,75,132,71,78,43,285,25,30,213,19,39,98,45,75,14,32,30,62,81,59
Endogenous,ACTA2,NM_001613.1,2285,2592,10753,2305,6204,3137,2453,7904,4607,4247,3480,11301,10246,4530,6132,7626,2841,905,1654,4899,1045,2759,2413,5247,2587,8545,4423
Endogenous,ACTBL2,NM_001017992.2,22,122,239,226,121,213,19,24,8,44,36,15,5,24,11,11,9,4,8,27,13,16,8,13,19,18,13
Endogenous,AEBP1,NM_001129.3,2733,6901,6723,4152,12686,1293,5942,11314,8489,12650,7336,5738,3875,8286,13410,6902,6272,1549,1768,20807,3268,9884,6668,2349,3414,1369,6203
Endogenous,AGPAT9,NM_032717.3,38,111,109,156,42,215,78,36,18,22,14,14,16,29,15,16,9,15,25,21,18,10,27,22,14,10,18
Endogenous,AKAP12,NM_005100.3,346,274,754,250,1004,696,85,226,218,231,250,338,93,137,248,366,118,51,95,254,298,142,189,118,202,297,132
Endogenous,AKT1,NM_001014432.1,1105,1171,2331,1981,1101,4021,5372,2009,2068,2285,697,1957,1350,815,1424,767,1433,1372,684,1584,1060,740,1916,1351,557,1105,1279
Endogenous,ALDH1A1,NM_000689.3,137,170,438,280,676,282,39,151,39,98,421,85,204,75,29,229,129,34,181,141,116,58,328,40,186,476,276
Endogenous,ALDH1A2,NM_003888.2,15,73,103,67,66,102,9,86,87,64,21,19,17,11,24,39,10,24,38,25,314,43,36,22,32,52,34
Endogenous,ALDH1A3,NM_000693.3,174,600,3153,1791,2497,3222,166,560,160,687,891,376,150,694,100,275,150,165,206,766,390,177,228,109,199,2043,793
Endogenous,ALDH3A2,NM_001031806.1,438,209,1058,517,2435,2169,460,476,824,470,180,807,552,206,214,266,299,271,120,342,394,227,1728,839,165,1826,794
Endogenous,ALDH3B2,NM_000695.3,1588,207,226,360,1448,556,529,281,426,95,653,552,5,181,22,25,2545,480,39,413,11,38,1989,3,64,339,295
Endogenous,ALOXE3,NM_001165960.1,13,63,48,198,430,82,33,14,10,13,9,10,9,9,10,14,7,10,6,12,36,27,47,8,8,15,12
Endogenous,ANKH,NM_054027.4,193,2079,585,718,467,447,451,421,1226,882,216,274,472,1021,132,259,122,200,78,368,807,323,351,1787,135,1151,233
Endogenous,ANPEP,NM_001150.1,215,900,1382,513,1349,565,247,433,864,317,205,330,489,546,873,287,66,181,280,495,166,503,133,390,193,228,1605
